60.000,3.000
0.449,47978.642,51061.127,31861.713,15176.034,5018.109,1811.575,0.000
0.455,47959.917,51927.125,32154.280,15248.590,5151.519,1823.277,0.000
0.460,47756.291,50831.755,31941.291,14970.066,5212.373,1743.699,0.000
0.466,47585.432,51316.246,32325.139,15384.341,5146.838,1846.683,0.000
0.472,48041.836,51395.824,32259.604,15295.401,5102.368,1792.850,0.000
0.478,47995.025,51587.748,31400.627,15218.163,5231.097,1713.272,0.000
0.483,47622.880,51456.678,32205.771,15002.834,5207.692,1811.575,0.000
0.489,47945.874,51416.889,32233.858,14897.510,5266.205,1729.656,0.000
0.495,48027.793,51316.246,31828.945,15321.147,5135.135,1753.061,0.000
0.501,48278.230,51203.900,31960.015,14899.850,5214.714,1769.445,0.000
0.507,48193.971,51480.083,31974.058,15037.942,5090.665,1844.342,0.000
0.514,48189.290,51695.412,32280.669,15281.358,5170.243,1832.639,0.000
0.520,47969.279,51077.511,32020.869,15442.855,5160.881,1818.596,0.000
0.526,48259.506,51943.509,31707.237,15176.034,5193.649,1694.548,0.000
0.532,48303.976,51566.683,32144.917,15103.477,5280.249,1872.429,0.000
0.537,47760.972,51515.191,32311.096,15204.120,5280.249,1806.894,0.000
0.543,47889.701,51559.661,32114.491,15300.082,5076.622,1867.747,0.000
0.549,47831.188,51173.473,31974.058,15016.877,5081.303,1783.488,0.000
0.555,47931.831,51531.575,32051.296,14941.980,5188.968,1837.321,0.000
0.560,47995.025,51360.716,32425.782,15286.039,5179.606,1872.429,0.000
0.566,48044.177,51131.343,32084.064,15037.942,5100.027,1825.618,0.000
0.572,48294.614,51510.510,32325.139,15164.331,5083.644,1842.002,0.000
0.577,47866.296,51554.980,31463.822,15185.396,5172.584,1886.472,0.000
0.583,48545.051,51606.472,31791.497,15103.477,5184.287,1769.445,0.000
0.589,48229.079,51341.991,32004.485,15035.601,5242.800,1827.958,0.000
0.595,48266.527,51377.099,32196.409,15337.531,5055.557,1872.429,0.000
0.600,48254.825,51711.796,32046.615,15234.547,5268.546,1722.634,0.000
0.606,47988.004,51508.169,32130.874,15190.077,5266.205,1788.169,0.000
0.614,48133.117,51442.634,31880.437,15143.266,5102.368,1820.937,0.000
0.620,47927.150,51152.408,32013.847,14970.066,5249.822,1963.709,0.000
0.628,47952.896,51454.337,31880.437,15047.304,5268.546,1757.742,0.000
0.634,47973.961,51203.900,32100.447,15126.882,5097.687,1881.791,0.000
0.640,47775.015,51393.483,31814.902,15119.861,5226.416,1734.337,0.000
0.648,47660.329,51150.067,31983.421,15042.623,5118.752,1799.872,0.000
0.654,47896.723,51274.116,31964.696,14923.256,5153.860,1757.742,0.000
0.659,48203.333,51391.143,31782.134,15035.601,5188.968,1818.596,0.000
0.665,47943.534,51414.548,32048.956,15307.104,5259.184,1863.066,0.000
0.671,47894.382,51587.748,32112.150,15037.942,5128.114,1802.213,0.000
0.677,47840.550,51157.089,32348.544,15173.693,5207.692,1863.066,0.000
0.682,47873.317,51274.116,31962.356,15257.952,5188.968,1783.488,0.000
0.688,47831.188,51021.338,31882.778,15110.499,5121.092,1809.234,0.000
0.694,47988.004,51363.056,31543.400,15213.482,5074.281,1809.234,0.000
0.699,47973.961,51613.494,32332.160,14920.915,5151.519,1895.834,0.000
0.705,48186.949,51615.834,31721.281,15213.482,5142.157,1781.148,0.000
0.711,47660.329,51150.067,31831.286,15054.326,5118.752,1753.061,0.000
0.717,47796.080,51641.580,31960.015,15199.439,5198.330,1834.980,0.000
0.722,48039.496,51760.947,31934.269,15101.136,5277.908,1816.256,0.000
0.728,48041.836,51608.812,32006.826,15101.136,5210.033,1811.575,0.000
0.734,48004.387,51105.597,31817.243,15377.320,5118.752,1731.996,0.000
0.740,48062.901,51384.121,32065.339,14864.742,5135.135,1809.234,0.000
0.748,47985.663,51379.440,32266.625,15019.218,5149.179,1781.148,0.000
0.753,48041.836,51231.986,32247.901,14932.618,5170.243,1750.721,0.000
0.759,48294.614,51503.488,31601.913,15185.396,5177.265,1837.321,0.000
0.765,47746.929,51767.969,31901.502,14904.531,5247.481,1708.591,0.000
0.771,48182.268,51274.116,32170.663,15225.185,5139.816,1818.596,0.000
0.776,47936.512,51475.402,32371.949,14984.110,5107.049,1743.699,0.000
0.782,48076.944,51150.067,32266.625,14778.142,5177.265,1928.601,0.000
